LEVEL1ID	LEVEL2ID	LEVEL3ID	LEVEL4ID	LEVEL5ID	SURVEYR	QUESTION	ANSWER1	ANSWER2	ANSWER3	ANSWER4	ANSWER5	SCORE100	ANSCOUNT
2	201	316	453	518	2018	Q06	19	35	17	18	11	59	267
2	201	316	454	0	2018	Q06	21	31	18	14	15	57	186
2	201	316	454	519	2018	Q06	21	31	17	12	16	57	140
2	201	316	454	520	2018	Q06	24	28	16	21	12	58	34
2	201	316	455	0	2018	Q06	18	32	17	15	17	55	893
2	201	316	455	521	2018	Q06	15	30	19	15	21	51	400
2	201	316	455	522	2018	Q06	20	34	17	15	14	58	260
2	201	316	455	523	2018	Q06	23	36	12	18	11	61	139
2	201	316	455	524	2018	Q06	23	27	18	16	17	56	79
2	201	317	0	0	2018	Q06	19	32	19	16	13	57	2188
2	201	317	456	0	2018	Q06	29	27	18	16	11	62	80
2	201	317	457	0	2018	Q06	21	42	14	11	12	62	246
2	201	317	457	525	2018	Q06	23	46	12	9	10	66	111
2	201	317	458	0	2018	Q06	16	30	21	16	17	53	446
2	201	317	459	0	2018	Q06	19	31	21	17	11	57	1078
2	201	317	459	526	2018	Q06	24	32	21	13	9	62	143
2	201	317	459	527	2018	Q06	17	29	20	17	15	54	75
2	201	317	459	528	2018	Q06	16	31	21	20	11	55	140
2	201	317	459	529	2018	Q06	22	33	20	15	10	61	145
2	201	317	459	530	2018	Q06	15	31	23	18	12	55	406
2	201	317	459	531	2018	Q06	26	35	13	15	11	62	109
2	201	317	460	0	2018	Q06	20	34	15	15	14	58	251
2	201	318	0	0	2018	Q06	22	40	22	11	6	65	1571
2	201	318	461	0	2018	Q06	28	47	12	9	3	72	65
2	201	318	462	0	2018	Q06	22	44	20	10	5	67	162
2	201	318	463	0	2018	Q06	20	39	23	12	6	64	862
2	201	318	463	532	2018	Q06	19	44	22	15	1	66	89
2	201	318	463	533	2018	Q06	20	36	25	12	6	63	461
2	201	318	463	534	2018	Q06	26	46	15	8	4	71	158
2	201	318	463	535	2018	Q06	16	38	24	13	10	59	138
2	201	318	464	0	2018	Q06	21	39	22	10	7	64	359
2	201	318	464	536	2018	Q06	17	24	31	13	13	55	46
2	201	318	464	538	2018	Q06	11	42	18	16	12	56	48
2	201	318	464	539	2018	Q06	37	40	9	11	3	74	33
2	201	318	464	540	2018	Q06	23	42	23	9	4	68	193
2	201	318	464	541	2018	Q06	21	48	26	5	0	71	19
2	201	318	465	0	2018	Q06	28	38	20	9	4	69	92
2	201	319	0	0	2018	Q06	36	33	13	9	9	70	200
2	201	319	466	0	2018	Q06	32	34	10	12	10	66	68
2	201	319	467	0	2018	Q06	50	36	10	3	0	83	30
2	201	319	468	0	2018	Q06	40	24	17	8	11	69	46
2	201	319	469	0	2018	Q06	39	30	9	6	15	68	33
2	201	320	0	0	2018	Q06	26	40	15	12	6	67	248
2	201	320	470	0	2018	Q06	31	41	10	8	8	70	97
2	201	320	471	0	2018	Q06	23	37	18	15	8	63	77
2	201	320	472	0	2018	Q06	17	37	21	26	0	61	16
2	201	320	473	0	2018	Q06	21	50	14	16	0	69	30
2	201	320	474	0	2018	Q06	23	46	31	0	0	73	13
2	201	321	0	0	2018	Q06	30	37	13	13	6	68	178
2	201	321	475	0	2018	Q06	25	45	12	11	7	68	35
2	201	321	476	0	2018	Q06	33	31	16	10	7	69	43
2	201	321	477	0	2018	Q06	39	16	38	0	8	70	13
2	201	321	478	0	2018	Q06	30	36	11	17	5	67	57
2	201	322	0	0	2018	Q06	42	33	14	5	5	76	203
2	201	322	479	0	2018	Q06	50	29	11	5	5	78	59
2	201	322	480	0	2018	Q06	50	32	11	4	4	80	28
2	201	322	481	0	2018	Q06	29	40	20	5	5	71	56
2	201	322	482	0	2018	Q06	55	36	0	0	10	81	20
2	202	0	0	0	2018	Q06	32	30	17	12	9	66	371
2	202	323	0	0	2018	Q06	30	31	18	13	7	66	207
2	202	323	484	0	2018	Q06	12	40	18	15	15	55	27
2	202	323	485	0	2018	Q06	44	26	20	9	0	76	57
2	202	323	486	0	2018	Q06	22	31	20	16	10	60	97
2	202	324	0	0	2018	Q06	43	24	14	11	6	72	64
2	202	324	487	0	2018	Q06	23	31	15	32	0	61	13
2	202	324	488	0	2018	Q06	72	21	7	0	0	91	14
2	202	324	489	0	2018	Q06	50	23	10	6	7	77	29
2	202	325	0	0	2018	Q06	40	24	13	15	8	68	13
2	999	0	0	0	2018	Q06	26	31	15	15	11	62	326
3	0	0	0	0	2011	Q06	21	37	16	14	11	61	16482
3	0	0	0	0	2014	Q06	19	34	18	16	13	58	14840
3	0	0	0	0	2017	Q06	23	34	18	14	11	61	12636
3	0	0	0	0	2018	Q06	23	32	20	13	12	60	10478
3	200	0	0	0	2018	Q06	26	33	21	13	6	65	179
3	200	300	0	0	2018	Q06	33	38	22	3	5	73	42
3	200	301	0	0	2018	Q06	16	34	12	22	13	55	32
3	200	302	0	0	2018	Q06	15	37	33	11	3	63	25
3	200	303	0	0	2018	Q06	30	34	12	20	4	66	50
3	201	0	0	0	2018	Q06	25	32	18	15	10	62	475
3	201	304	0	0	2018	Q06	26	37	15	12	11	64	134
3	201	304	400	0	2018	Q06	17	39	18	13	13	58	81
3	201	304	401	0	2018	Q06	55	14	19	12	0	78	16
3	201	304	402	0	2018	Q06	49	39	0	6	6	80	18
3	201	305	0	0	2018	Q06	17	29	24	15	15	54	61
3	201	306	0	0	2018	Q06	20	26	20	22	8	58	71
3	201	307	0	0	2018	Q06	31	32	16	16	6	67	69
3	202	0	0	0	2018	Q06	17	31	20	16	15	55	647
3	202	308	0	0	2018	Q06	27	30	19	15	9	63	31
3	202	309	0	0	2018	Q06	19	31	21	23	6	58	117
3	202	310	0	0	2018	Q06	17	32	22	13	15	56	325
3	202	310	403	0	2018	Q06	12	27	32	20	9	53	53
3	202	310	404	0	2018	Q06	12	45	20	10	14	58	44
3	202	310	405	0	2018	Q06	18	31	16	10	24	52	68
3	202	310	406	0	2018	Q06	19	32	12	21	11	57	52
3	202	310	407	0	2018	Q06	15	25	40	9	11	57	23
3	203	0	0	0	2018	Q06	25	36	18	11	9	64	630
3	203	311	0	0	2018	Q06	33	36	13	10	7	70	43
3	203	312	0	0	2018	Q06	23	40	16	12	7	65	192
3	203	312	408	0	2018	Q06	27	47	5	16	5	68	38
3	203	312	409	0	2018	Q06	28	35	16	14	2	69	46
3	203	312	410	0	2018	Q06	23	38	28	3	6	68	36
3	203	312	411	0	2018	Q06	7	40	21	14	18	50	27
3	203	312	412	0	2018	Q06	19	42	13	16	10	61	32
3	203	313	0	0	2018	Q06	36	31	11	6	14	68	64
3	203	314	0	0	2018	Q06	24	35	17	14	11	62	128
3	203	314	413	0	2018	Q06	25	40	17	12	6	67	55
3	203	314	414	0	2018	Q06	25	41	24	9	0	71	21
3	203	314	415	0	2018	Q06	19	25	16	19	21	50	43
3	203	315	0	0	2018	Q06	20	36	23	14	7	62	82
3	203	315	416	0	2018	Q06	23	33	26	13	5	64	38
3	203	315	417	0	2018	Q06	22	46	10	15	7	65	28
3	204	0	0	0	2018	Q06	26	35	19	10	9	65	1521
3	204	316	0	0	2018	Q06	9	55	26	9	0	66	18
3	204	317	0	0	2018	Q06	28	38	11	12	11	65	78
3	204	318	0	0	2018	Q06	23	36	22	12	7	64	205
3	204	319	0	0	2018	Q06	25	36	17	11	9	65	371
3	204	320	0	0	2018	Q06	27	39	20	7	7	68	163
3	204	321	0	0	2018	Q06	37	41	11	4	6	75	96
3	204	322	0	0	2018	Q06	27	27	24	8	14	61	173
3	204	323	0	0	2018	Q06	26	38	16	9	10	65	98
3	204	324	0	0	2018	Q06	27	27	21	13	8	64	53
3	205	0	0	0	2018	Q06	43	29	19	4	5	76	98
